id,url,status_code,latency,extract_method,page_type,content_length
1,https://duckduckgo.com/?t=h_&q=DAIWIK+INVESTMENT+SOLUTION+PRIVATELIMITED+++products+services+tradeindia&ia=web,200,1.76,trafilatura,html,15922
2,https://iqvia.com/solutions/technologies/orchestrated-clinical-trials/digital-site-suite,200,34.16,trafilatura,html,1084
3,https://interpret.csis.org/translations/the-butterfly-effect-of-the-russia-ukraine-conflict-and-geopolitical-risks-to-chinas-food-security/,200,7.29,trafilatura,html,50000
4,https://fgsglobal.com/join-us/opportunities/praktikant-all-genders-public-affairs-13066927,404,12.49,Selenium,error,330
5,https://support.grip.events/e3t/Ctc/W+50013/d2wh-J04/Jll2-6qcW7Y8-PT6lZ3krVRbS0c4Y85zsW2j1lyb3zHM9RW5tgJ1m2VWfrmW3V5Cyr50h9YhW5q42Kh2-N3DBW3nGH6x3jQPYJW4FYwTT8rB6VYW8Xh-yq5mhyDSW7F6mYn4y2zj8VJct3F4pVkY6W2Vsqsp4K5h01W3CSYz_3SBh5WF8HFNFCGQ-6VzsfPd1DtC3NW18rNFt5Lb3hBW3C4l536z41rDW8jcxXJ377fx6VnGypN6NRNLDW5z8Jp_7hbrr7W8SFggS5s4MkrN8-7ZvqRLx66W6Y5hs82V-RvbW5xmt5v4F4-gsW41J-0k2VV2HNN5ClpL4C4c_XW4YYrks21PDM6f8lfq-s04,200,1.72,trafilatura,html,3067
6,https://www.glenview34.org/fs/resource-manager/view/cabff787-a2e5-4464-a138-e42dc05f6de6,200,3.12,trafilatura,html,8539
7,"https://app.geckoterminal.com/api/p1/ton/pools?dex=dedust&include=dex,dex.dex_metric,dex.network,tokens&page=1&include_network_metrics=true&include_meta=1&sort=-6h_trend_score&networks=ton&dexes=dedust",200,2.14,trafilatura,json,50000
8,https://wordbrew.com/manufacturing/,200,1.83,trafilatura,html,5797
9,https://www.localsearch.com.au/qld/brisbane/daguilar,202,15.26,Selenium,html,361
10,https://www.inc.com/jonathan-tofel/ai-for-cpg-innovation-the-power-of-agility/91169883,200,17.64,Selenium,spa,2512
11,https://www.westernrm.com/swivels/7ch,200,23.68,trafilatura,html,1098
12,https://chromeindustries.com/products/seatbelt-buckle-lg?pr_prod_strat=pinned&pr_rec_id=6faa90853&pr_rec_pid=7161666109500&pr_ref_pid=7792702750780&pr_seq=uniform,200,2.13,trafilatura,html,1110
13,https://www.beltecno.co.jp/company/equipment/URL3:https://www.beltecno.co.jp/company/base/,404,21.91,Selenium,error,229
14,https://vipclimat.by/katalog/konditcionery/kinghome/cosmo.html,200,3.37,trafilatura,html,18911
15,https://www.jcsc.org/accnt_377504/site_378398/Student-Handbook-Jennings-MS.pdf,200,2.73,trafilatura,pdf,7626
16,https://kitchenyeah.de/runde-bilder-frau-schwarz-herz,200,3.64,trafilatura,html,1877
17,https://gipreit.com/why-we-do-it,200,2.28,trafilatura,html,1734
18,https://www.dupagecounty.gov/business_detail_T12_R112.php,200,2.46,trafilatura,html,229
19,https://dogecoin.com/th/dogepedia/how-tos/making-memes/,200,9.2,Selenium,html,1525
20,https://www.rappahannock.edu/jobs/org-chart.html,200,1.98,trafilatura,html,965
21,https://www.cnbc.com/world,200,16.95,trafilatura,html,11137
22,https://www.digitalservice.metro.tokyo.lg.jp/2025%E5%B9%B41?page=8,404,21.4,Selenium,error,259
23,https://pdfa.org/product/pspdfkit-the-leading-pdf-framework-for-ios-android-and-web/,200,3.3,trafilatura,html,589
24,https://pickstar.pro/au/our-stars/8944/jodi-ann-ward,200,4.72,trafilatura,html,802
25,https://docs.coalesce.io/docs/build-your-pipeline/build-how-to/how-to-filter-node-output-with-select-statements,200,2.64,trafilatura,docs,965
26,https://miamin.com/,200,4.64,trafilatura,html,2180
